system:index,area_ha,area_km2,season,year,.geo
0,19197.979586787344,191.97979586787343,Primavera,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,22601.970971866394,226.01970971866393,Verano,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,23399.6818944269,233.996818944269,Otoño,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,28633.84990271242,286.3384990271242,Invierno,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,28633.84990271242,286.3384990271242,Antes,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,32631.610408872722,326.31610408872723,Durante,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,19197.979586787344,191.97979586787343,Después,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,11480.192961839712,114.80192961839711,Permanente,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,32349.81292163481,323.4981292163481,Temporal,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,26653.86138363971,266.5386138363971,Primavera,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,28186.094579302124,281.86094579302124,Verano,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,29450.55771541006,294.5055771541006,Otoño,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,29209.91250882928,292.0991250882928,Invierno,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,29209.91250882928,292.0991250882928,Antes,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,40459.410960019275,404.5941096001927,Durante,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,26653.86138363971,266.5386138363971,Después,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,12599.30117739434,125.9930117739434,Permanente,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,43837.94672188408,438.37946721884083,Temporal,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,24127.88125126276,241.27881251262758,Primavera,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,24406.90490916838,244.0690490916838,Verano,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,22540.851282756357,225.40851282756358,Otoño,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,32705.079276451364,327.05079276451363,Invierno,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,32705.079276451364,327.05079276451363,Antes,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,30816.443263302746,308.16443263302745,Durante,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,24127.88125126276,241.27881251262758,Después,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,13199.809177707088,131.99809177707087,Permanente,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,39523.29418509325,395.2329418509325,Temporal,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,39056.401765140086,390.5640176514009,Primavera,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,23011.916427577242,230.11916427577242,Verano,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,24788.929066437708,247.88929066437709,Otoño,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,41877.9788527767,418.77978852776704,Invierno,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,41877.9788527767,418.77978852776704,Antes,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,33041.36208582793,330.41362085827933,Durante,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,39056.401765140086,390.5640176514009,Después,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,12415.058900620486,124.15058900620487,Permanente,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,62588.65193383701,625.8865193383701,Temporal,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,20781.410570512933,207.81410570512932,Primavera,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
